Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Tax Year
604220,"3603FD 4 28    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,86000,207300,0,293300,221 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605010,"7423DQ 5 1,E2    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,94100,102700,0,196800,302 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605020,"7423DQ 5 2-4    SE-12-20-3-5    9,900 Sq. Feet",T,2,Residential,I  Individual,109600,126100,0,235700,304 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605030,"7423DQ 5 5,6    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,102100,112000,0,214100,306 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605040,"7423DQ 5 7,EB    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,94100,86400,0,180500,308 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605050,"7423DQ 5 W8,9    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,94100,123100,0,217200,310 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605060,"7423DQ 5 10,11    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,102100,113500,0,215600,312 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605070,"9311679 5 34    SE-12-20-3-5    5,930 Sq. Feet",T,2,Residential,I  Individual,94000,91000,0,185000,314 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605075,"9311679 5 35    SE-12-20-3-5    5,930 Sq. Feet",T,2,Residential,I  Individual,94000,182600,0,276600,316 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605078,"7423DQ 5 15-17    SE-12-20-3-5    11,880 Sq. Feet",T,2,Residential,I  Individual,112600,132600,0,245200,320 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605090,"7423DQ 5 18,19    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,102100,76800,0,178900,324 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605100,"7423DQ 5 20    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,67100,105800,0,172900,328 SUNSET BLVD. N.W.,Land    R - Residential,,2018
605110,"3603FD 5 21,W22    SE-12-20-3-5    10,200 Sq. Feet",T,2,Residential,I  Individual,110300,215600,0,325900,321 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605120,"3603FD 5 E22P23    SE-12-20-3-5    7,800 Sq. Feet",T,2,Residential,I  Individual,101600,123900,0,225500,319 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605125,"3603FD 5 P23,24    SE-12-20-3-5    7,200 Sq. Feet",T,2,Residential,I  Individual,99400,205100,0,304500,317 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605130,"3603FD 5 25    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,170900,0,265700,315 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605135,"3603FD 5 W26    SE-12-20-3-5    5,400 Sq. Feet",T,2,Residential,I  Individual,87600,196600,0,284200,313 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605140,"3603FD 5 E26,27    SE-12-20-3-5    6,600 Sq. Feet",T,2,Residential,I  Individual,97100,184700,0,281800,311 WINDSOR AVE. N.W.,Land    R - Residential,,2018
