Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
603175,"2229EW 3 25-27    SE-12-20-3-5    9,550 Sq. Feet",T,2,Residential,I  Individual,94500,34500,0,129000,113 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603190,"2229EW 3 28,29    SE-12-20-3-5    8,514 Sq. Feet",T,2,Residential,I  Individual,91000,63800,0,154800,109 FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603200,"2229EW 3 W.30    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,58000,143900,0,201900,107B FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603210,"2229EW 3 E.30    SE-12-20-3-5    3,230 Sq. Feet",T,2,Residential,I  Individual,58000,143900,0,201900,107A FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603220,"2229EW 3 W31    SE-12-20-3-5    3,225 Sq. Feet",T,2,Residential,I  Individual,60200,142700,0,202900,105B FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
603230,"2229EW 3 E31    SE-12-20-3-5    3,225 Sq. Feet",T,2,Residential,I  Individual,60200,142700,0,202900,105A FRONTENAC AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604010,"7423DQ 4 1,2    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,89100,124700,0,213800,210 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604020,"7423DQ 4 3    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,67300,46200,0,113500,212 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604030,"7423DQ 4 4,P5    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,82000,106400,0,188400,214 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604040,"7423DQ 4 W5,6    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,82000,173100,0,255100,216 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604050,"7423DQ 4 7    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,58500,41500,0,100000,218 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604060,"7423DQ 4 8    SE-12-20-3-5    3,960 Sq. Feet",T,2,Residential,I  Individual,58500,37700,0,96200,220 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604070,"7423DQ 4 9,10    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,89100,76400,0,165500,222 SUNSET BLVD. NW,R    LAND & IMPROVEMENTS,,TV,2021
604080,"7423DQ 4 11-12    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,89100,137600,0,226700,224 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604090,"7423DQ 4 13    SE-12-20-3-5    6,360 Sq. Feet",T,2,Residential,I  Individual,83900,135500,0,219400,226 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604100,"8054EK 4 14    SE-12-20-3-5    5,880 Sq. Feet",T,2,Residential,I  Individual,87100,148000,0,235100,202 Sunset Blvd. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604105,"8054EK 4 14,15    SE-12-20-3-5    6,120 Sq. Feet",T,2,Residential,I  Individual,88900,122200,0,211100,204 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
